City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,thinadhoo,0.5333,72.9333,27.95,77,99,4.35,MV,1683685929
188,malango,-2.9627,119.9001,28.09,62,62,1.37,ID,1683685929
189,akureyri,65.6835,-18.0878,4.96,93,100,1.54,IS,1683685929
190,flying fish cove,-10.4217,105.6791,27.73,77,64,8.57,CX,1683685929
191,papao,-17.75,-149.55,28.82,83,48,4.74,PF,1683685930
192,olonkinbyen,70.9221,-8.7187,1.86,100,100,4.22,SJ,1683685930
193,birjand,32.8663,59.2211,21.26,11,0,8.23,IR,1683685930
194,sao luiz gonzaga,-28.4083,-54.9608,11.49,89,0,2.28,BR,1683685930
195,ola,59.5833,151.2833,8.97,81,44,3.49,RU,1683685930
196,ramadi,33.4226,43.3058,23.44,37,0,4.1,IQ,1683685931
197,vilyuchinsk,52.9306,158.4028,11.15,79,32,2.57,RU,1683685931
198,hithadhoo,-0.6,73.0833,28.02,73,79,3.81,MV,1683685931
199,illizi,26.4833,8.4667,17.86,43,7,0.9,DZ,1683685932
200,mineral wells,32.8085,-98.1128,24.38,83,0,3.09,US,1683685932
201,east london,-33.0153,27.9116,16.63,75,2,4.17,ZA,1683685932
202,olinda,-8.0089,-34.8553,27.85,74,40,3.6,BR,1683685932
203,crane,31.3974,-102.3501,23.7,51,50,8.34,US,1683685932
204,malard,35.6659,50.9767,19.1,82,75,6.17,IR,1683685933
205,aizawl,23.7333,92.7167,24.89,65,0,3.09,IN,1683685933
206,queenstown,-31.8976,26.8753,8.19,67,1,0.99,ZA,1683685933
207,francistown,-21.17,27.5079,13.29,90,0,3.53,BW,1683685933
208,lesneven,48.5723,-4.3213,12.34,87,75,4.63,FR,1683685934
209,pacifica,37.6138,-122.4869,15.96,81,40,9.26,US,1683685934
210,kirensk,57.7853,108.1119,10.49,64,98,5.6,RU,1683685934
211,praia da vitoria,38.7333,-27.0667,18.2,94,40,7.02,PT,1683685935
212,howrah,22.5892,88.3103,32.0,70,40,3.6,IN,1683685935
213,naze,28.3667,129.4833,23.51,60,1,6.88,JP,1683685935
214,yantongshan,43.2919,126.0094,15.84,23,0,4.26,CN,1683685936
215,floro,61.5996,5.0328,11.98,71,100,3.09,NO,1683685936
216,vorgashor,67.5833,63.95,-2.88,96,100,0.48,RU,1683685936
217,punta arenas,-53.15,-70.9167,-0.94,93,0,2.57,CL,1683685936
218,maridi,4.9158,29.4742,19.96,95,100,2.8,SS,1683685937
219,bilibino,68.0546,166.4372,-2.51,80,100,1.84,RU,1683685937
220,tazovsky,67.4667,78.7,-7.53,93,100,5.95,RU,1683685937
221,zvishavane,-20.3267,30.0665,13.56,96,54,0.91,ZW,1683685937
222,klyuchi,52.2667,79.1667,13.77,32,94,4.19,RU,1683685938
223,tommot,58.9564,126.2925,10.94,63,66,2.35,RU,1683685938
224,berezovyy,51.6667,135.7,11.34,30,11,3.43,RU,1683685938
225,zaozersk,69.4005,32.4476,1.63,99,100,2.99,RU,1683685938
226,wormhout,50.8833,2.4667,12.71,68,99,1.79,FR,1683685939
227,asau,46.4333,26.4,5.51,90,71,0.97,RO,1683685939
228,quibala,-10.7337,14.98,14.11,75,0,1.82,AO,1683685939
229,manokwari,-0.8667,134.0833,28.75,74,52,2.93,ID,1683685939
230,arraial do cabo,-22.9661,-42.0278,23.92,88,20,3.09,BR,1683685940
231,rio grande,-32.035,-52.0986,10.53,80,23,3.73,BR,1683685940
232,kilindoni,-7.9139,39.6668,26.6,75,25,6.38,TZ,1683685940
233,belmonte,-15.8631,-38.8828,23.83,86,27,4.06,BR,1683685940
234,mount isa,-20.7333,139.5,21.24,19,0,8.46,AU,1683685687
235,leava,-14.3,-178.1667,28.16,73,0,2.76,WF,1683685941
236,los frentones,-26.4077,-61.4137,14.2,74,25,2.43,AR,1683685941
237,santa vitoria do palmar,-33.5189,-53.3681,11.71,77,47,2.54,BR,1683685941
238,plastun,44.7561,136.2939,8.26,66,55,3.97,RU,1683685941
239,dipayal,29.2608,80.94,25.1,30,1,0.5,NP,1683685942
240,coquimbo,-29.9533,-71.3436,11.85,100,100,1.03,CL,1683685942
241,itoman,26.1247,127.6694,23.43,70,75,6.17,JP,1683685942
242,tucuma,-0.1833,-50.05,24.59,92,99,1.86,BR,1683685942
243,noumea,-22.2763,166.4572,25.99,58,1,3.19,NC,1683685687
244,turan,16.0678,108.2208,30.99,66,75,0.51,VN,1683685943
245,pasuquin,18.3328,120.6177,32.97,58,20,3.6,PH,1683685943
246,newman,37.3138,-121.0208,22.19,56,85,4.02,US,1683685944
247,shihezi,44.3,86.0333,24.0,17,0,1.54,CN,1683685944
248,tolanaro,-25.0319,46.9987,22.04,94,20,4.12,MG,1683685944
249,port alfred,-33.5906,26.891,16.69,76,2,3.77,ZA,1683685944
250,soligalich,59.0778,42.2864,6.6,67,81,1.19,RU,1683685945
251,pisco,-13.7,-76.2167,20.03,83,75,4.63,PE,1683685945
252,chonchi,-42.6128,-73.8092,12.56,98,99,0.6,CL,1683685945
253,hadibu,12.65,54.0333,27.8,69,99,0.45,YE,1683685946
254,atar,20.5169,-13.0499,29.08,12,47,2.72,MR,1683685946
255,dapa,9.7594,126.0531,29.82,62,6,1.09,PH,1683685946
256,griffith,41.5284,-87.4237,15.96,69,0,0.0,US,1683685946
257,tuy hoa,13.0833,109.3,31.03,63,93,2.39,VN,1683685947
258,ambalangoda,6.2355,80.0538,28.61,76,92,3.13,LK,1683685947
259,yelan'-koleno,51.1523,41.2306,6.01,72,100,3.5,RU,1683685947
260,seaford,50.7714,0.1027,12.19,92,47,4.05,GB,1683685933
261,dzuunharaa,48.8523,106.4579,15.85,39,5,5.55,MN,1683685947
262,ouahigouya,13.5828,-2.4216,31.38,25,88,2.98,BF,1683685948
263,nishinoomote,30.7333,131.0,22.31,60,75,2.57,JP,1683685948
264,wotho,10.1657,166.0102,27.56,82,98,6.49,MH,1683685948
265,yangambi,0.8102,24.4336,20.34,99,100,0.51,CD,1683685948
266,rundu,-17.9333,19.7667,14.45,42,0,1.36,NA,1683685949
267,kirs,59.3388,52.2447,6.31,73,85,3.1,RU,1683685949
268,nueva esperanza,15.2667,-87.6,25.79,93,8,1.01,HN,1683685949
269,ephrata,40.1798,-76.1788,16.15,51,0,2.57,US,1683685744
270,vikasnagar,30.4683,77.775,20.52,19,0,1.64,IN,1683685950
271,keflavik,64.0049,-22.5624,8.26,100,75,2.06,IS,1683685950
272,saint-philippe,-21.3585,55.7679,21.77,83,46,4.04,RE,1683685950
273,hami,42.8,93.45,20.57,22,10,5.2,CN,1683685950
274,okha,53.5739,142.9478,2.97,81,100,2.99,RU,1683685951
275,casablanca,33.5928,-7.6192,20.74,77,8,2.68,MA,1683685951
276,santo antonio,-6.3106,-35.4789,22.1,96,21,2.77,BR,1683685951
277,bengkulu,-3.8004,102.2655,28.05,68,30,0.61,ID,1683685762
278,bouna,9.2667,-3.0,25.28,68,46,2.38,CI,1683685952
279,isheyevka,54.4167,48.2667,2.73,65,94,3.03,RU,1683685952
280,lamarque,-39.423,-65.7021,12.22,54,2,3.67,AR,1683685952
281,dennery,13.8996,-60.8879,27.05,83,40,9.26,LC,1683685952
282,tambacounda,13.7539,-13.7586,31.03,45,0,1.03,SN,1683685952
283,wuchuan,21.4571,110.7659,25.73,81,100,8.51,CN,1683685953
